-4.220050135781749954e-08,-5.708093647004085627e-08,-7.688644689656359022e-08,-1.014474029372592252e-07,-1.281940564324355793e-07,-1.505072660774943804e-07,-1.564300553945463780e-07,-1.286541254934544607e-07,-4.665110528655487476e-08,1.085190116043068756e-07,3.465746185735691895e-07,6.580583488397981151e-07,1.004844355323756915e-06,1.318320052955227263e-06,1.514189613111116913e-06,1.524137840780425864e-06,1.329028393898147657e-06,9.735460117010091405e-07,5.559569529989679646e-07,2.032089580460881313e-07,4.345475911095222400e-08,1.765341010239458400e-07,6.429517854742457401e-07,1.405873346873628977e-06,2.347275253747683895e-06,3.277555769364363643e-06,3.974283521734678312e-06,4.252220497302713321e-06,4.028145173418457875e-06,3.336265821733880076e-06,2.295532109920344697e-06,1.067155617493254143e-06,-1.763222862395797891e-07,-1.277145619193444128e-06,-2.118628277388400085e-06,-2.643375806223938653e-06,-2.854856682082687531e-06,-2.803223309899901213e-06,-2.563476364277429464e-06,-2.214618571672443435e-06,-1.824954953697900370e-06
-7.737488439604319598e-07,-1.065322251535306108e-06,-1.453156632931422134e-06,-1.932459542372055954e-06,-2.462439507645765826e-06,-2.942397868469083331e-06,-3.188008782979525523e-06,-2.924491135028059494e-06,-1.822351851757805280e-06,4.000858825447943024e-07,3.797338732691776832e-06,7.952867795548444388e-06,1.173332624421106862e-05,1.323276271634242707e-05,1.022643409420503306e-05,1.228083192725167731e-06,-1.343725002795889144e-05,-3.146041007775749094e-05,-4.945560139164990562e-05,-6.414357566778478893e-05,-7.296365222439825480e-05,-7.405003835743151342e-05,-6.615801738203249869e-05,-4.909250748053114609e-05,-2.469963180069291442e-05,2.384937239949887215e-06,2.564187256372532848e-05,3.945511839773375664e-05,4.162231198967035435e-05,3.347446124568984077e-05,1.835833372609638875e-05,3.337116092321163579e-07,-1.661463003198079334e-05,-2.935884095231141455e-05,-3.631728275900829013e-05,-3.761191130239841419e-05,-3.460358159389465379e-05,-2.913353100964529932e-05,-2.287085907783186127e-05,-1.697171143833109909e-05,-1.203534412260748902e-05
-1.019985734561426164e-05,-1.405401935015384038e-05,-2.000232995225365262e-05,-2.885809256644210146e-05,-4.071477025695278068e-05,-5.401387505443736378e-05,-6.501876963289583212e-05,-6.870388686806437519e-05,-6.173829097267187125e-05,-4.686590018872228947e-05,-3.638266671652418442e-05,-5.270262189629687472e-05,-1.268745207011277962e-04,-2.962471543392559189e-04,-5.941871908184108040e-04,-1.021210852100071318e-03,-1.514614382192618763e-03,-1.963505047996980894e-03,-2.276890197933219458e-03,-2.443205424353560914e-03,-2.525483117487929349e-03,-2.597446458483056424e-03,-2.665361064538028773e-03,-2.634859236895352973e-03,-2.376526006882452840e-03,-1.864619422005053817e-03,-1.235681917500757636e-03,-6.735105968511731879e-04,-2.779294918828416425e-04,-6.670010411908009254e-05,-2.531541688677585038e-05,-1.126482886102192022e-04,-2.562597605515059976e-04,-3.766207502205137867e-04,-4.229717163506724787e-04,-3.894779759282587773e-04,-3.041853341202911155e-04,-2.051007960580535127e-04,-1.207229641294645111e-04,-6.292621019823711227e-05,-3.013866467590328423e-05
-1.132898562113776012e-04,-1.761514933224454359e-04,-2.680113239335735068e-04,-3.861604356533274618e-04,-5.063569452022515524e-04,-5.773598102058614392e-04,-5.416110394286364647e-04,-4.003526970612143916e-04,-3.151026935226768880e-04,-6.865064292071359001e-04,-2.115445451240158606e-03,-5.201629773881081761e-03,-1.028615452379332169e-02,-1.730384703469820332e-02,-2.557122111694571515e-02,-3.298736686584986116e-02,-3.530813921602971028e-02,-2.810831380932056131e-02,-1.141035900090908370e-02,8.393988294373409126e-03,2.206846834366866725e-02,2.260917812453473383e-02,8.526670372815450469e-03,-1.454437112120342442e-02,-3.580870640787044840e-02,-4.749672767961878039e-02,-5.025444572480212285e-02,-4.721180995945900571e-02,-3.882590119120961358e-02,-2.587219780664806734e-02,-1.195428434830872640e-02,-1.378130110934389476e-03,3.796077125783771551e-03,4.367439650345017292e-03,2.602948164283300399e-03,5.769425432683704955e-04,-6.507542932178766526e-04,-9.672922754728397647e-04,-7.330955686586871018e-04,-3.504012077361337097e-04,-5.752116399406993145e-05
-6.782206181016065677e-04,-1.456738019424489751e-03,-2.582103918064782271e-03,-3.744362259735032304e-03,-4.281888935547558013e-03,-3.515283145445735873e-03,-1.749259273466021282e-03,-1.853743889386179648e-03,-1.049140933241013082e-02,-3.710153211086348463e-02,-8.881684725608582354e-02,-1.620919351719129486e-01,-2.369979931696301056e-01,-2.833813206548181363e-01,-2.795106237153401341e-01,-2.193101721156898720e-01,-7.671799110804063127e-02,2.304499913409592815e-01,7.757672744724892766e-01,1.553541777956762182e+00,2.493214911701099545e+00,3.242327682132483346e+00,3.089501970909493078e+00,1.986512366383929695e+00,9.437403905295423945e-01,4.556084874059953549e-01,1.800523536073417308e-01,-1.092361632370801305e-01,-3.361808212623915715e-01,-4.061288097958233312e-01,-3.350599701475057701e-01,-2.045303982797256059e-01,-8.753387906843244914e-02,-1.601079834417650297e-02,1.265109420853584646e-02,1.560992662857822039e-02,9.129826299283369528e-03,2.575891719913538797e-03,-9.907148368777176934e-04,-1.925827571392661015e-03,-1.537727118460126491e-03
-1.132186283000550381e-03,-1.611578050675445189e-03,-1.337698906737927809e-03,2.761851822705878095e-04,2.375308690810941023e-03,1.529716619257474321e-04,-1.765024132492395981e-02,-6.787661125747056212e-02,-1.636810445380514900e-01,-2.944012368506489508e-01,-4.035151835777017193e-01,-3.938145394644727015e-01,-2.032140236352432683e-01,3.389242569057319271e-02,-1.556417919589946353e-01,-1.380174268421503703e+00,-3.303479229088895686e+00,-2.466731714510833839e+00,8.682213161079905817e+00,3.256461252487842017e+01,-8.819664425676791097e+01,3.256461252487842017e+01,8.682213161079905817e+00,-2.466731714510833839e+00,-3.303479229088895686e+00,-1.380174268421503703e+00,-1.556417919589946353e-01,3.389242569057319271e-02,-2.032140236352432683e-01,-3.938145394644727015e-01,-4.035151835777017193e-01,-2.944012368506489508e-01,-1.636810445380514900e-01,-6.787661125747056212e-02,-1.765024132492395981e-02,1.529716619257474321e-04,2.375308690810941023e-03,2.761851822705878095e-04,-1.337698906737927809e-03,-1.611578050675445189e-03,-1.132186283000550381e-03
-1.537727118460126491e-03,-1.925827571392661015e-03,-9.907148368777176934e-04,2.575891719913538797e-03,9.129826299283369528e-03,1.560992662857822039e-02,1.265109420853584646e-02,-1.601079834417650297e-02,-8.753387906843244914e-02,-2.045303982797256059e-01,-3.350599701475057701e-01,-4.061288097958233312e-01,-3.361808212623915715e-01,-1.092361632370801305e-01,1.800523536073417308e-01,4.556084874059953549e-01,9.437403905295423945e-01,1.986512366383929695e+00,3.089501970909493078e+00,3.242327682132483346e+00,2.493214911701099545e+00,1.553541777956762182e+00,7.757672744724892766e-01,2.304499913409592815e-01,-7.671799110804063127e-02,-2.193101721156898720e-01,-2.795106237153401341e-01,-2.833813206548181363e-01,-2.369979931696301056e-01,-1.620919351719129486e-01,-8.881684725608582354e-02,-3.710153211086348463e-02,-1.049140933241013082e-02,-1.853743889386179648e-03,-1.749259273466021282e-03,-3.515283145445735873e-03,-4.281888935547558013e-03,-3.744362259735032304e-03,-2.582103918064782271e-03,-1.456738019424489751e-03,-6.782206181016065677e-04
-5.752116399406993145e-05,-3.504012077361337097e-04,-7.330955686586871018e-04,-9.672922754728397647e-04,-6.507542932178766526e-04,5.769425432683704955e-04,2.602948164283300399e-03,4.367439650345017292e-03,3.796077125783771551e-03,-1.378130110934389476e-03,-1.195428434830872640e-02,-2.587219780664806734e-02,-3.882590119120961358e-02,-4.721180995945900571e-02,-5.025444572480212285e-02,-4.749672767961878039e-02,-3.580870640787044840e-02,-1.454437112120342442e-02,8.526670372815450469e-03,2.260917812453473383e-02,2.206846834366866725e-02,8.393988294373409126e-03,-1.141035900090908370e-02,-2.810831380932056131e-02,-3.530813921602971028e-02,-3.298736686584986116e-02,-2.557122111694571515e-02,-1.730384703469820332e-02,-1.028615452379332169e-02,-5.201629773881081761e-03,-2.115445451240158606e-03,-6.865064292071359001e-04,-3.151026935226768880e-04,-4.003526970612143916e-04,-5.416110394286364647e-04,-5.773598102058614392e-04,-5.063569452022515524e-04,-3.861604356533274618e-04,-2.680113239335735068e-04,-1.761514933224454359e-04,-1.132898562113776012e-04
-3.013866467590328423e-05,-6.292621019823711227e-05,-1.207229641294645111e-04,-2.051007960580535127e-04,-3.041853341202911155e-04,-3.894779759282587773e-04,-4.229717163506724787e-04,-3.766207502205137867e-04,-2.562597605515059976e-04,-1.126482886102192022e-04,-2.531541688677585038e-05,-6.670010411908009254e-05,-2.779294918828416425e-04,-6.735105968511731879e-04,-1.235681917500757636e-03,-1.864619422005053817e-03,-2.376526006882452840e-03,-2.634859236895352973e-03,-2.665361064538028773e-03,-2.597446458483056424e-03,-2.525483117487929349e-03,-2.443205424353560914e-03,-2.276890197933219458e-03,-1.963505047996980894e-03,-1.514614382192618763e-03,-1.021210852100071318e-03,-5.941871908184108040e-04,-2.962471543392559189e-04,-1.268745207011277962e-04,-5.270262189629687472e-05,-3.638266671652418442e-05,-4.686590018872228947e-05,-6.173829097267187125e-05,-6.870388686806437519e-05,-6.501876963289583212e-05,-5.401387505443736378e-05,-4.071477025695278068e-05,-2.885809256644210146e-05,-2.000232995225365262e-05,-1.405401935015384038e-05,-1.019985734561426164e-05
-1.203534412260748902e-05,-1.697171143833109909e-05,-2.287085907783186127e-05,-2.913353100964529932e-05,-3.460358159389465379e-05,-3.761191130239841419e-05,-3.631728275900829013e-05,-2.935884095231141455e-05,-1.661463003198079334e-05,3.337116092321163579e-07,1.835833372609638875e-05,3.347446124568984077e-05,4.162231198967035435e-05,3.945511839773375664e-05,2.564187256372532848e-05,2.384937239949887215e-06,-2.469963180069291442e-05,-4.909250748053114609e-05,-6.615801738203249869e-05,-7.405003835743151342e-05,-7.296365222439825480e-05,-6.414357566778478893e-05,-4.945560139164990562e-05,-3.146041007775749094e-05,-1.343725002795889144e-05,1.228083192725167731e-06,1.022643409420503306e-05,1.323276271634242707e-05,1.173332624421106862e-05,7.952867795548444388e-06,3.797338732691776832e-06,4.000858825447943024e-07,-1.822351851757805280e-06,-2.924491135028059494e-06,-3.188008782979525523e-06,-2.942397868469083331e-06,-2.462439507645765826e-06,-1.932459542372055954e-06,-1.453156632931422134e-06,-1.065322251535306108e-06,-7.737488439604319598e-07
